"Sexe";"Nom";"Age";"Occupation";"Residence";"Apparence";"Personnalite";"Histoire";"GenreRoman";"Themes";"Caracteristiques";"trAge"
"F";"Sarah Johnson";"35";"Ecrivain";"New York";"Cheveux blonds ondulés, yeux verts, visage ovale, style décontracté";"Intelligente, créative, indépendante, réservée, a du mal à faire confiance aux autres";"a publié plusieurs romans à succès, vit seule à New York, a une relation compliquée avec sa famille";"Roman psychologique";"Solitude, créativité, relations familiales, confiance en soi";"Personnage complexe et profond, lutte pour trouver un équilibre entre son travail et sa vie personnelle";"2. Entre 30 et 40 ans"
"H";"Mike Davis";"42";"Avocat";"Los Angeles";"Cheveux bruns courts, yeux marron, visage carré, style élégant";"Intelligent, ambitieux, compétitif, loyal, a du mal à concilier travail et vie privée";"a une relation tendue avec son père, a récemment divorcé";"Thriller juridique";"Ambition, loyauté, relations familiales, divorce";"Personnage fort et déterminé, lutte pour trouver un équilibre entre sa carrière et sa vie personnelle";"3. Entre 40 et 50 ans"
"F";"Emily Walker";"27";"Photographe";"Londres";"Cheveux roux courts, yeux bleus, visage rond, style bohème";"Créative, passionnée, aventureuse, indépendante, a du mal à s'engager dans une relation";"a voyagé dans le monde entier, a une relation compliquée avec sa mère";"Roman d'apprentissage";"Passion, aventure, relations mère-fille, indépendance";"Personnage libre et indépendant, lutte pour trouver sa place dans le monde";"1. Moins de 30 ans"
"H";"James Lee";"38";"Chef cuisinier";"San Francisco";"Cheveux noirs, yeux marron, visage allongé, style décontracté";"Passionné, créatif, perfectionniste, exigeant, a du mal à déléguer";"a une relation compliquée avec son frère, a ouvert son propre restaurant";"Roman culinaire";"Passion, créativité, relations fraternelles, perfectionnisme";"Personnage passionné et déterminé, lutte pour trouver un équilibre entre sa vie professionnelle et personnelle";"2. Entre 30 et 40 ans"
"F";"Olivia Brown";"45";"Médecin";"Boston";"Cheveux bruns mi-longs, yeux marron, visage ovale, style professionnel";"Intelligente, compétente, dévouée, compatissante, a du mal à concilier travail et vie privée";"a une relation tendue avec son mari, a perdu un patient récemment";"Drame médical";"Dévouement, compassion, relations conjugales, perte";"Personnage fort et compatissant, lutte pour faire face à la perte d'un patient";"3. Entre 40 et 50 ans"
"H";"Tom Wilson";"24";"Musicien";"Nashville";"Cheveux blonds mi-longs, yeux bleus, visage fin, style rock";"Talentueux, passionné, créatif, rebelle, a du mal à gérer son succès";"a une relation compliquée avec son père, a récemment signé un contrat avec une maison de disques";"Roman musical";"Talent, passion, relations père-fils, célébrité";"Personnage rebelle et talentueux, lutte pour gérer son succès";"1. Moins de 30 ans"
"F";"Lily Chen";"30";"Entrepreneur";"Shanghai";"Cheveux noirs longs, yeux marron, visage ovale, style élégant";"Intelligente, ambitieuse, déterminée, indépendante, a du mal à faire confiance aux autres";"a une relation compliquée avec son associé, a créé sa propre entreprise";"Roman d'affaires";"Ambition, indépendance, relations professionnelles, confiance en soi";"Personnage fort et déterminé, lutte pour faire confiance aux autres";"2. Entre 30 et 40 ans"
"H";"Ryan Miller";"36";"Architecte";"Chicago";"Cheveux châtains courts, yeux verts, visage carré, style professionnel";"Intelligent, créatif, perfectionniste, exigeant, a du mal à concilier travail et vie privée";"a une relation compliquée avec sa femme, a conçu plusieurs bâtiments emblématiques";"Drame architectural";"Créativité, perfectionnisme, relations conjugales, équilibre vie professionnelle et personnelle";"Personnage créatif et perfectionniste, lutte pour trouver un équilibre entre sa vie professionnelle et personnelle";"2. Entre 30 et 40 ans"
"F";"Anna Garcia";"28";"Danseuse";"Madrid";"Cheveux bruns longs, yeux noisette, visage fin, style sportif";"Passionnée, déterminée, disciplinée, indépendante, a du mal à accepter l'échec";"a une relation compliquée avec sa sœur, a dansé dans plusieurs compagnies de danse prestigieuses";"Roman de danse";"Passion, discipline, relations sororales, échec";"Personnage déterminé et discipliné, lutte pour accepter l'échec";"1. Moins de 30 ans"
"H";"Jackson Turner";"40";"Ecrivain";"Seattle";"Cheveux gris courts, yeux bleus, visage carré, style décontracté";"Intelligent, créatif, indépendant, sarcastique, a du mal à s'engager dans une relation";"a une relation compliquée avec son éditeur, a écrit plusieurs best-sellers";"Roman littéraire";"Créativité, indépendance, relations éditeur-auteur, engagement";"Personnage intelligent et créatif, lutte pour s'engager dans une relation";"3. Entre 40 et 50 ans"
"F";"Chloe White";"33";"Designer de mode";"Paris";"Cheveux blonds longs, yeux bleus, visage ovale, style élégant";"Créative, ambitieuse, perfectionniste, exigeante, a du mal à déléguer";"a une relation compliquée avec sa mère, a créé sa propre marque de vêtements";"Drame de la mode";"Créativité, ambition, relations mère-fille, perfectionnisme";"Personnage créatif et ambitieux, lutte pour déléguer";"2. Entre 30 et 40 ans"
"H";"Noah Green";"29";"Informaticien";"Berlin";"Cheveux bruns courts, yeux marron, visage fin, style décontracté";"Intelligent, créatif, indépendant, réservé, a du mal à communiquer avec les autres";"a une relation compliquée avec son frère, a créé sa propre start-up";"Thriller technologique";"Intelligence, créativité, relations fraternelles, communication";"Personnage intelligent et créatif, lutte pour communiquer avec les autres";"1. Moins de 30 ans"
"F";"Sophia King";"39";"Journaliste";"Londres";"Cheveux noirs courts, yeux marron, visage ovale, style professionnel";"Intelligente, curieuse, déterminée, indépendante, a du mal à concilier travail et vie privée";"a une relation compliquée avec son rédacteur en chef, a écrit plusieurs articles primés";"Drame journalistique";"Curiosité, détermination, relations professionnelles, équilibre vie professionnelle et personnelle";"Personnage déterminé et curieux, lutte pour concilier travail et vie privée";"2. Entre 30 et 40 ans"
"H";"Alex Peterson";"26";"Acteur";"Los Angeles";"Cheveux blonds courts, yeux verts, visage carré, style décontracté";"Talentueux, passionné, créatif, insouciant, a du mal à gérer son succès";"a une relation compliquée avec sa mère, a joué dans plusieurs films à succès";"Drame hollywoodien";"Talent, passion, relations mère-fils, célébrité";"Personnage talentueux et passionné, lutte pour gérer son succès";"1. Moins de 30 ans"
"F";"Mia Hernandez";"31";"Avocat";"Miami";"Cheveux bruns longs, yeux marron, visage ovale, style professionnel";"Intelligente, ambitieuse, déterminée, compatissante, a du mal à concilier travail et vie privée";"a une relation compliquée avec son père, a gagné plusieurs affaires importantes";"Thriller juridique";"Ambition, détermination, relations père-fille, équilibre vie professionnelle et personnelle";"Personnage déterminé et compatissant, lutte pour concilier travail et vie privée";"2. Entre 30 et 40 ans"
"H";"Samuel Lee";"44";"Médecin";"Toronto";"Cheveux noirs courts, yeux marron, visage rond, style professionnel";"Intelligent, compétent, dévoué, compatissant, a du mal à concilier travail et vie privée";"a une relation compliquée avec son fils, a sauvé plusieurs vies";"Drame médical";"Compétence, dévouement, relations père-fils, équilibre vie professionnelle et personnelle";"Personnage dévoué et compatissant, lutte pour concilier travail et vie privée";"3. Entre 40 et 50 ans"
"F";"Grace Park";"25";"Artiste";"New York";"Cheveux noirs courts, yeux marron, visage fin, style bohème";"Créative, passionnée, indépendante, rebelle, a du mal à accepter les critiques";"a une relation compliquée avec son mentor, a exposé dans plusieurs galeries d'art";"Drame artistique";"Créativité, passion, relations mentor-élève, critique";"Personnage créatif et passionné, lutte pour accepter les critiques";"1. Moins de 30 ans"
"H";"Nathan Smith";"37";"Policier";"Chicago";"Cheveux bruns courts, yeux marron, visage carré, style professionnel";"Intelligent, courageux, déterminé, loyal, a du mal à concilier travail et vie privée";"a une relation compliquée avec sa femme, a résolu plusieurs affaires importantes";"Thriller policier";"Courage, détermination, relations conjugales, équilibre vie professionnelle et personnelle";"Personnage courageux et déterminé, lutte pour concilier travail et vie privée";"2. Entre 30 et 40 ans"
"F";"Emma Davis";"29";"Enseignante";"Philadelphie";"Cheveux blonds longs, yeux bleus, visage ovale, style décontracté";"Intelligente, patiente, dévouée, compatissante, a du mal à s'imposer";"a une relation compliquée avec son directeur d'école, a aidé plusieurs élèves à réussir";"Drame scolaire";"Patience, dévouement, relations professionnelles, autorité";"Personnage dévoué et compatissant, lutte pour s'imposer";"1. Moins de 30 ans"
"H";"Lucas Thompson";"32";"Détective privé";"New York";"Cheveux bruns courts, yeux marron, visage carré, style décontracté";"Intelligent, perspicace, tenace, solitaire, a du mal à faire confiance aux autres";"a résolu plusieurs affaires de meurtre, a une relation compliquée avec sa famille";"Polar";"Enquête, relations familiales, confiance en soi";"Personnage solitaire et tenace, lutte pour trouver un équilibre entre son travail et sa vie personnelle";"2. Entre 30 et 40 ans"
"F";"Isabella Martinez";"28";"Designer graphique";"Los Angeles";"Cheveux noirs longs, yeux marron, visage ovale, style bohème";"Créative, passionnée, indépendante, têtue, a du mal à accepter les critiques";"a travaillé pour plusieurs grandes marques, a une relation compliquée avec son petit ami";"Roman d'apprentissage";"Passion, indépendance, relations amoureuses, critique";"Personnage passionné et indépendant, lutte pour accepter les critiques";"1. Moins de 30 ans"
